ID	label	definition
ENVO:01000707	coastal flooding	Coastal flooding is a process in which normally dry, low-lying land near a coast is flooded by sea water.
ENVO:01000708	riverine flooding	Riverine flooding is a process in which the flow rate of river water exceeds the capacity of its channel, thus flooding neighbouring land. Bends and meanders in a river channel are particularly disposed to such flooding.
ENVO:01000709	flash flooding	Flash flooding is a process in which low-lying land is inundated with water for a short period of time and are usually the result of precipitation or a breach in the container of a water body.
ENVO:01000710	flood	An unusual accumulation of water above the ground caused by high tide, heavy rain, melting snow or rapid runoff from paved areas.
ENVO:01000711	coastal flood	A coastal flood is a flood which is formed as a result of large amounts of water from marine water bodies or large lakes being transported to usually dry land by displacement processes such as high winds or seismic activity.
ENVO:01000712	riverine flood	A riverine flood is a flood which is formed as a result of a river's flow rate exceeding the capacity of its channel.
ENVO:01000713	flash flood	A flash flood is a flood formed by the rapid flooding of geomorphic low-lying areas. It may be caused by heavy rain associated with a severe thunderstorm, hurricane, tropical storm, or meltwater from ice or snow flowing over ice sheets or snowfields. Flash floods may also occur after the collapse of a natural ice or debris dam, or a human structure such as a man-made dam. Flash floods are distinguished from a regular flood by a timescale of less than six hours.
ENVO:01000714	storm surge	A storm surge is a coastal flood which is caused by low-pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.
ENVO:01000715	meteotsunami	A meteotsunami is a tsunami caused by atmospheric processes and differences in air pressure.
ENVO:01000716	storm surge process	A storm surge process is a coastal flooding process which is caused by low pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.
ENVO:01000717	areal flooding	Areal flooding is a flooding process in which flat or low-lying areas become inundated with water due to water input exceeding infiltration, evaporation, or run off.
ENVO:01000718	urban flooding	Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems.
ENVO:01000724	condensation process	Condensation is a process during which a gas undergoes a phase transition into a liquid.
ENVO:01000730	lava flow process	A process in which a volume of lava emitted during an effusive eruption moves along a solid surface.
ENVO:01000739	habitat	An environmental system which can sustain and allow the growth of an ecological population.
ENVO:01000760	cloud	A cloud is a visible mass of aerosolised liquid droplets or frozen crystals suspended in an atmosphere above the surface of a planetary body.
ENVO:01000786	fire	A fire is a process whereby rapid and exothermic oxidation of a material through a combustion process releases heat, light, and other products.
ENVO:01000787	wildfire	A conflagration which is uncontrolled and combusts material in a vegetated area, be it rural or wild.
ENVO:01000788	conflagration	A fire which occurs in a large spatial area poses a risk to human life, animal life, health, and/or property.
ENVO:01000789	flame	A portion of gas which is emitted by a fire or other exothermic reaction, is of increased temperature, and typically emits light in the visible range.
ENVO:01000790	hydrocarbon flame	A flame which is produced by the combustion of hydrocarbon fuel.
ENVO:01000791	forest fire	A wildfire which occurs in a forest, primarily consuming vegetation as fuel.
ENVO:01000792	mass gaseous flow	A process whereby a large volume of gas moves due to a disequilibrium of physical forces.
ENVO:01000793	atmospheric wind	
ENVO:01000797	gaseous environmental material	A material entity which is composed of one or more chemical entities and has neither independent shape nor volume but tends to expand indefinitely.
ENVO:01000798	plasma	A material entity which is composed of a volume of unbound positive and negative particles in roughly equal numbers, conducts electricity, and possesses internal magnetic fields.
ENVO:01000799	astronomical body	An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space.
ENVO:01000800	planet	A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals.
ENVO:01000804	astronomical object	An object which is composed of one or more gravitationally bound structures that are associated with a position in space.
ENVO:01000813	astronomical body part	A material part of an astronomical body.
ENVO:01000814	solid environmental material	An environmental material which is in a solid state.
ENVO:01000815	liquid environmental material	An environmental material which is in a liquid state.
ENVO:01000817	biosphere	A biosphere is a part of an astronomical body which includes, as parts, all the living entities within the gravitational sphere of influence of that body, as well as the non-living and dead entities with which they interact.
ENVO:01000819	hydrosphere	An astronomical body part which is composed of the combined mass of water found on, under, and over the surface of a planet.
ENVO:01000820	pedosphere	An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere.
ENVO:01000828	humid air	Air which has increased levels of water vapour.
ENVO:01000829	water vapour saturated air	Air which has a partial pressure of water vapour equal or near equal to its equilibrium vapor pressure at a given temperature.
ENVO:01000830	water-based rainfall	A hydrological precipitation process in which atmospheric water vapour condenses to form droplets of liquid water massive enough to fall to a planetary surface due to the planet's gravity.
ENVO:01000831	droplet	A droplet is a small column of liquid, bounded completely or almost completely by free surfaces which maintains its shape due to the surface tension of the liquid.
ENVO:01000832	raindrop	A droplet formed by condensation of vapour in an atmosphere and which is sufficiently massive to overcome atmospheric resistance and fall to a planetary surface due to gravity.
ENVO:01000838	smoke	
ENVO:01000839	combustion process	Combustion or burning is a high-temperature exothermic redox chemical reaction between a fuel and an oxidant that produces oxidized, often gaseous products, in a mixture termed as smoke.
ENVO:01000840	thermolysis	A chemical decomposition (the separation of a single chemical compound into its two or more elemental parts or to simpler compounds) caused by heat.
ENVO:01000874	hailfall	Hailfall is a hydrological process in which balls or irregular lumps of water ice formed in thunderstorm or cumulonimbus clouds fall to a planetary surface.
ENVO:01000875	precipitation process	A precipitation process is a process in which a portion of some substance segregates from a material in which that substance or its precursors were dissolved or suspended in and settles due to a force such as gravity or centrifugal force.
ENVO:01000876	storm	A storm is an environmental process in which an environmental system and the processes it participates in are strongly perturbed by external forcings. These forcings typically increase the rates of processes unfolding in the system, relative to their normal rates.
ENVO:01000877	atmospheric storm	An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather.
ENVO:01000878	thunderstorm	An atmospheric storm which occurs in cumulonimbus clouds and during which lightning and thunder occur.
ENVO:01000879	rainstorm	An atmospheric storm during which intense rainfall occurs.
ENVO:01000880	hailstorm	An atmospheric storm which intense hailfall occurs.
ENVO:01000881	snowstorm	An atmospheric storm during which intense snowfall occurs.
ENVO:01000882	icestorm	An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces.
ENVO:01000895	snowfall	A hydrological process in which irregular aggregates of snow fall to a planetary surface.
ENVO:01000896	freezing rainfall	Rainfall which occurs when the temperature of a planetary surface and its surrounding atmosphere are below the freezing point of water, resulting in supercooled raindrops which freeze upon impact with solid surfaces.
ENVO:01000897	electrostatic discharge process	A process during which a sudden flow of electricity occurs, often accompanied by a visible release of photons, between two electrically charged objects due to contact, an electrical short, or dielectric breakdown.
ENVO:01000898	atmospheric lightning	A sudden electrostatic discharge which occurs during an electrical storm as differentially charged atmospheric entities equalise their charge.
ENVO:01000899	intercloud lightning	A lightning process during which electrostatic discharge occurs between at least two clouds.
ENVO:01000900	intracloud lightning	A lightning process during which electrostatic discharge occurs within a single cloud.
ENVO:01000901	lightning strike	A lightning process during which electrostatic discharge occurs between a cloud and an object on a planetary surface, or a planetary surface itself.
ENVO:01000902	lightning flash	A lightning process during which electrostatic discharge occurs within a single cloud or between multiple clouds.
ENVO:01000903	blizzard	A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours.
ENVO:01000904	ground blizzard	A ground blizzard is a storm during which snow which has settled on a planetary surface is resuspended in and transported through its atmosphere by strong winds, sustained for several hours.
ENVO:01000916	rubbish landslide	A mass wasting process during which refuse from human activities, usually accumulated at a dumping site, falls down a slope under the force of gravity.
ENVO:01000981	mass liquid flow	A process whereby a volume of liquid moves due to a disequilibrium of physical forces.
ENVO:01000982	water flow process	A process during which a volume of water is transported due to a disequilibria in physical forces.
ENVO:01001008	meteor	A meteor is any matter- or energy-based entity which is located in the atmosphere of an astronomical body.
ENVO:01001023	radiation	A process during which energy is emitted or transmitted in the form of waves or particles through space or a material medium.
ENVO:01001024	particle radiation	A radiation process during which energy is transmitted or emitted by means of fast-moving subatomic particles.
ENVO:01001025	particle beam radiation	A particle radiation process during which subatomic particles move in the same direction.
ENVO:01001026	electromagnetic radiation	A radiation process during which waves (or their quanta, photons) of the electromagnetic field propagate (radiate) through space carrying electromagnetic energy.
ENVO:01001093	tectonic movement	A process during which pieces of a planetary crust and uppermost mantle move.
ENVO:01001094	convergent tectonic movement	A process during which pieces of a planetary crust and uppermost mantle move towards one another.
ENVO:01001097	tectonic plate	A part of a lithosphere which is separated by other such parts by geographic faults or similar geomorphological discontinuities.
ENVO:01001098	tectonic plate boundary	A geomorphological feature which is formed where two or more tectonic plates move towards, away from, or along one another, resulting in deformation of the lithosphere.
ENVO:01001100	convergent plate boundary	A geomorphological feature which is formed where two or more tectonic plates are actively moving towards one another, resulting in deformation of the lithosphere that forces one plate below the other where it melts in the mantle.
ENVO:01001102	tectonic plate subduction	A convergent tectonic movement process during which one plate moves under another and is forced or sinks due to gravity into a mantle.
ENVO:01001108	rockslide process	A rockslide is a process whereby a large mass of rock moves down a hill or a mountainside.
ENVO:01001110	ecosystem	An environmental system which includes both living and non-living components.
ENVO:01001125	ice	An ice is an environmental material which is either frozen or which is maintained in a solid state by gravitational forces or pressure.
ENVO:01001164	geodiversity	A quality which inheres in a astronomical body or astronomical body part by virtue of the variation in its material composition, participation in geological processes, and the variation in is land- and hydroforms.
ENVO:01001199	terrestrial environmental zone	An environmental zone which is bounded by material parts of a land mass or the atmosphere or space adjacent to it.
ENVO:01001206	grassland ecosystem	An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dynamics.
ENVO:01001211	stellar radiation	An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star.
ENVO:01001216	ultraviolet stellar radiation	A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 10 nm and 400 nm.
ENVO:01001217	X-ray stellar radiation	A stellar radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.
ENVO:01001218	gamma-ray stellar radiation	A stellar radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.
ENVO:01001239	forest canopy	
ENVO:01001242	canopy	A vegetation layer which is formed by a collection of individual plant crowns, themselves constituting part of the aboveground portion of a plant community.
ENVO:01001243	forest ecosystem	An ecosystem which is determined by communities of plants with a tree growth form and in which members of those communities form continuous or discontinuous regions of canopy cover.
ENVO:01001287	industrial fire	A fire which occurs in an industrial area or building.
ENVO:01001289	brush fire	A land fire which consumes low-growing plants such as scrub and brush.
ENVO:01001290	bush fire	A land fire which occurs in a large uncleared or sparsely settled area (as in Australia) usually scrub-covered or forested.
ENVO:01001291	pasture fire	A fire which occurs in a pastureland.
ENVO:01001292	land fire	A fire which occurs on land, typically consuming a terrestrial ecosystem as fuel.
ENVO:01001294	convective storm	An atmospheric storm which is generated by the heating and convection of moist and unstable air masses.
ENVO:01001295	extra-tropical cyclone	A warm-core cyclone which occurs in the middle and high latitudes, primarily drawing energy from horizontal temperature contrasts between atmospheric fronts.
ENVO:01001296	tropical storm	A an atmospheric storm which originates over tropical or subtropical waters and possesses a warm-core, non-frontal synoptic-scale cyclone with a low pressure centre, spiral rain bands and strong winds.
ENVO:01001297	cyclone	An atmospheric storm during which a large mass of atmospheric gas rotates around a centre of low atmospheric pressure, generating high winds which spiral towards that centre.
ENVO:01001298	warm core cyclone	A cyclone which rotates around an area low atmospheric pressure with increased temperature.
ENVO:01001305	vegetated area	A vegetated area is a geographic feature which has ground cover dominated by plant communities.
ENVO:01001311	solid surface layer	A surface layer which is composed primarily of solid environmental material.
ENVO:01001334	advective transport process	A material transport process during which a volume of material is displaced due to a disequilibrium in physical forces and during which 1) the qualities that inhere in that volume and 2) the processes that are unfolding within it are largely unchanged.
ENVO:01001476	body of liquid	
ENVO:01001477	liquid astronomical body part	A part of an astronomical body which is primarily composed of a continuous volume of liquid material, shaped by one or more environmental processes.
ENVO:01001479	fluid astronomical body part	A part of an astronomical body which is primarily composed of a continuous volume of liquid or gaseous material, shaped by one or more environmental processes.
ENVO:01001483	surface of an astronomical body	A surface layer where the solid or liquid material of an astronomical body comes into contact with an atmosphere or outer space.
ENVO:01001501	radiation from a manufactured product	An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a manufactured product.
ENVO:01001510	material congelation process	A material transformation process during which a material's viscosity increase either through a reduction in temperature, through chemical reactions, or other physical effects.
ENVO:01001678	fluid layer	A layer which is composed primarily of some fluid.
ENVO:01001684	interface layer	A layer which separates two portions of environmental material which possess 1) differing compositions, 2) a discontinuity of some property, or 3) some derivative of some property in a direction normal to the interface.
ENVO:01001686	mass of environmental material	An object which is composed primarily of an environmental material
ENVO:01001688	mass of fluid	An object which is composed primarily of a fluid.
ENVO:01001690	mass of liquid	An object which is composed primarily of a liquid.
ENVO:01001747	mass fluid flow	
ENVO:01001748	cyclonic circulation	A mass fluid flow which moves  in the same direction as a planet's rotation, rotating due to a Coriolis effect.
ENVO:01001767	structural collapse process	A process during which the ability of a material entity to maintain its internal organisation fails, resulting in deformation and a breakdown of that organisation.
ENVO:01001782	landmass	A large continuous area of land, either surrounded by sea or contiguous with another landmass.
ENVO:01001784	compound astronomical body part	A part of an astronomical body which is primarily composed of a continuous medium bearing liquid, gaseous, and solid material in varying quantities.
ENVO:01001785	land	A surface layer of an astronomical body which is primarily composed of solid material and is not covered by oceans or other bodies of water.
ENVO:01001790	terrestrial ecosystem	
ENVO:01001852	energy transfer process	A process during which one entity loses energy to another entity.
ENVO:02000140	fluid environmental material	A liquid or a gas.
ENVO:02500000	environmental system process	A process in which includes the components of an environmental system as participants.
ENVO:02500002	flooding	A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source. A great flow along a watercourse or a flow causing inundation of lands not normally covered by water.
ENVO:02500036	environmental pollution	An environmental system process that results in the introduction of contaminants into an environment.
ENVO:02500037	air pollution	A pollution process during which particulates or other contaminants are released into a portion of air.
ENVO:02500038	soil pollution	A pollution process during which contaminants are released into soil.
ENVO:02500039	water pollution	A pollution process during which contaminants are released into water.
ENVO:02500040	plastic pollution	A pollution process during which plastic contaminants are released into an environmental material.
ENVO:02500044	urban pollution	A pollution process that results in increased levels of pollutants in an urban environment.
ENVO:03000009	material accumulation process	A process during which the mass of one or more materials, present within a given site, increases.
ENVO:03000010	material transport process	A process during which material is displaced from its original location and transported either to a new location or back to the original location.
ENVO:03000016	material decumulation process	A process during which a mass composed of one or more environmental materials, present within a given site, decreases.
ENVO:03000020	aeolian transport process	A material transport process during which one or more environmental materials are transported by the action of wind.
ENVO:03000027	powdery snow	Uncompacted snow containing trapped atmospheric gases.
ENVO:03000043	material transformation process	A process during which a portion of some environmental material is converted into a different material or a collection of materials.
ENVO:03000090	explosion process	A process during which a material entity undergoes a rapid increase in volume, releasing gasses and various forms of energy, often including thermal, light and sound energy.
ENVO:03000091	permafrost methane explosion	An explosion during which methane-rich gas trapped in permafrost combusts.
ENVO:03000103	aeolian transport of snow	An aeolian transport process during which powdery snow is displaced and moved.
ENVO:03000105	slab avalanche	A mass wasting process during which slab snow rapidly moves down a sloping surface.
ENVO:03000106	powdery snow avalanche	An avalanche during which powdery snow rapidly flows down a sloping surface.
ENVO:03000107	wet snow avalanche	An avalanche during which a suspension of water and snow flows down a sloping surface.
ENVO:03000131	grass fire	A fire which occurs in a grassland, combusting biomass stored in grasses as its primary fuel.
ENVO:1000745	drought	A hydrological precipitation process with a reduced rate relative to some historical average, typically resulting in ecosystemic perturbations.
ENVO:21001216	ultraviolet radiation	A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm.
ENVO:21001217	X-ray radiation	A radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy.
ENVO:21001218	gamma-ray radiation	A radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.
ENVO:21001219	ionizing radiation	A radiation process during which electromagnetic waves or their quanta are emitted with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.
