iri	iri label	entity	entity label	attribute	attribute label
OBA_0000102	microvillus length	GO_0005902	microvillus	PATO_0000122	length
OBA_0000104	mitochondrial membrane permeability	GO_0031966	mitochondrial membrane	PATO_0000970	permeability
OBA_0000107	multivesicular body size	GO_0005771	multivesicular body	PATO_0000117	size
OBA_0000112	myofibril number	GO_0030016	myofibril	PATO_0000070	amount
OBA_0000113	myofibril size	GO_0030016	myofibril	PATO_0000117	size
OBA_0000116	neurotransmitter levels	GOCHE_25512	neurotransmitter	PATO_0000070	amount
OBA_0000117	nuclear size	GO_0005634	nucleus	PATO_0000117	size
OBA_0000119	nucleosome density	GO_0000786	nucleosome	PATO_0000070	amount
OBA_0000120	osmotic pressure	CHEBI_15377	water	PATO_0000070	amount
OBA_0000122	peroxisome size	GO_0005777	peroxisome	PATO_0000117	size
OBA_0000124	post-lysosomal vacuole size	GO_0032195	post-lysosomal vacuole	PATO_0000117	size
OBA_0000126	potassium ion concentration	CHEBI_29103	potassium(1+)	PATO_0000033	concentration of
OBA_0000127	pronephric kidney size	UBERON_0002120	pronephros	PATO_0000117	size
OBA_0000138	spindle density	GO_0005819	spindle	PATO_0000070	amount
OBA_0000160	thalamus size	UBERON_0001897	dorsal plus ventral thalamus	PATO_0000117	size
OBA_0000161	force of heart contraction	GO_0060047	heart contraction	PATO_0001035	force
OBA_0000164	velocity of shortening of skeletal muscle modulating contraction	GO_0003009	skeletal muscle contraction	PATO_0000008	speed
OBA_0000166	tracheal tube diameter	UBERON_0000117	respiratory tube	PATO_0001334	diameter
OBA_0000167	tracheal tube length	UBERON_0000117	respiratory tube	PATO_0000122	length
OBA_0000168	tracheal tube size	UBERON_0000117	respiratory tube	PATO_0000117	size
OBA_0000169	translational accuracy	GO_0006412	translation	PATO_0001509	functionality
OBA_0000171	tube diameter	UBERON_0000025	tube	PATO_0001334	diameter
OBA_0000172	tube size	UBERON_0000025	tube	PATO_0000117	size
OBA_0000173	urinary volume	UBERON_0001088	urine	PATO_0000918	volume
OBA_0000174	vascular permeability	UBERON_0000055	vessel	PATO_0000970	permeability
OBA_0000182	nutrient level	CHEBI_33284	nutrient	PATO_0000070	amount
OBA_1000001	blood brain barrier permeability	UBERON_0000120	blood brain barrier	PATO_0000970	permeability
OBA_1000002	intermammary line length	UBERON_0013771	line connecting laterally paired nipples	PATO_0000122	length
OBA_1000003	inter-canthal distance	UBERON_0013678	anatomical line between inner canthi	PATO_0000122	length
OBA_1000004	distance between ears	UBERON_0010231	anatomical line between outer ears	PATO_0000122	length
OBA_1000005	inter-pupillar distance	UBERON_0010222	anatomical line between pupils	PATO_0000122	length
OBA_1000006	cilium length	GO_0005929	cilium	PATO_0000122	length
OBA_1000007	dendrite length	GO_0030425	dendrite	PATO_0000122	length
OBA_1000008	microtubule length	GO_0005874	microtubule	PATO_0000122	length
OBA_1000009	mitochondrial nucleoid size	GO_0042645	mitochondrial nucleoid	PATO_0000117	size
OBA_1000010	spindle length	GO_0005819	spindle	PATO_0000122	length
OBA_1000011	Golgi apparatus morphology	GO_0005794	Golgi apparatus	PATO_0000051	morphology
OBA_1000012	germ tube septin ring length	GO_0032172	germ tube septin ring	PATO_0000122	length
OBA_1000013	cytoskeleton morphology	GO_0005856	cytoskeleton	PATO_0000051	morphology
OBA_1000014	endomembrane system morphology	GO_0012505	endomembrane system	PATO_0000051	morphology
OBA_1000015	lipid particle morphology	GO_0005811	lipid particle	PATO_0000051	morphology
OBA_1000016	mating projection morphology	GO_0005937	mating projection	PATO_0000051	morphology
OBA_1000017	mating projection tip length	GO_0043332	mating projection tip	PATO_0000122	length
OBA_1000018	nucleus shape	GO_0005634	nucleus	PATO_0000052	shape
OBA_1000019	nucleus morphology	GO_0005634	nucleus	PATO_0000051	morphology
OBA_1000021	cotyledon size	PO_0020030	cotyledon	PATO_0000117	size
OBA_1000023	subcutaneous adipose tissue quality	UBERON_0002190	subcutaneous adipose tissue	PATO_0000001	quality
OBA_1000024	subcutaneous adipose tissue proportionality to	UBERON_0002190	subcutaneous adipose tissue	PATO_0001470	proportionality to
OBA_1000025	breast size	UBERON_0000310	breast	PATO_0000117	size
OBA_1000026	intervertebral disk of lumbar vertebra morphology	UBERON_0007255	intervertebral disk of lumbar vertebra	PATO_0000051	morphology
OBA_1000027	thyroid gland volume	UBERON_0002046	thyroid gland	PATO_0000918	volume
OBA_1000028	membrane permeability	GO_0016020	membrane	PATO_0000970	permeability
OBA_1000029	cerebellum shape	UBERON_0002037	cerebellum	PATO_0000052	shape
OBA_1000030	upper arm circumference	UBERON_0003822	forelimb stylopod	PATO_0001648	circumference
OBA_1000031	neck circumference	UBERON_0000974	neck	PATO_0001648	circumference
OBA_1000032	hip circumference	UBERON_0001464	hip	PATO_0001648	circumference
OBA_1000033	upper leg circumference	UBERON_0000376	hindlimb stylopod	PATO_0001648	circumference
OBA_1000034	cell surface area	GO_0009986	cell surface	PATO_0001323	area
OBA_1000035	lens of camera-type eye opacity	UBERON_0000965	lens of camera-type eye	PATO_0000957	opacity
OBA_1000036	cell mass	GO_0005623	cell	PATO_0000125	mass
OBA_1000037	adult organism mass	UBERON_0007023	adult organism	PATO_0000125	mass
OBA_1000038	mollusc shell height	UBERON_0008270	mollusc shell	PATO_0000119	height
OBA_1000039	mollusc shell length	UBERON_0008270	mollusc shell	PATO_0000122	length
OBA_1000040	secondary xylem volumetric density	PO_0005848	secondary xylem	PATO_0001353	volumetric density
OBA_1000041	cotyledonary node color	PO_0025321	cotyledonary node	PATO_0000014	color
OBA_1000042	scutellar node color	PO_0004708	scutellar node	PATO_0000014	color
OBA_1000043	shoot node color	PO_0005004	shoot axis node	PATO_0000014	color
OBA_1000045	iris color	UBERON_0001769	iris	PATO_0000014	color
OBA_1000046	philtrum length	UBERON_0005402	philtrum	PATO_0000122	length
OBA_1000047	palpebral fissure length	UBERON_0001819	palpebral fissure	PATO_0000122	length
OBA_1000048	manus length	UBERON_0002398	manus	PATO_0000122	length
OBA_1000049	pes length	UBERON_0002387	pes	PATO_0000122	length
OBA_1000050	palmar part of manus length	UBERON_0008878	palmar part of manus	PATO_0000122	length
OBA_1000051	mollusc shell quality	UBERON_0008270	mollusc shell	PATO_0000001	quality
OBA_1000052	columnella quality	UBERON_0008283	columnella	PATO_0000001	quality
OBA_1000053	albumen gland quality	UBERON_0008935	gastropod albumen gland	PATO_0000001	quality
OBA_1000054	headfoot quality	UBERON_0008943	headfoot	PATO_0000001	quality
OBA_1000055	osphradium quality	UBERON_0007770	osphradium	PATO_0000001	quality
OBA_1000056	nacre quality	UBERON_0008269	nacre	PATO_0000001	quality
OBA_1000057	gland quality	UBERON_0002530	gland	PATO_0000001	quality
OBA_1000058	visceral hump quality	UBERON_0008937	visceral hump	PATO_0000001	quality
OBA_1000059	parapodium quality	UBERON_0009473	parapodium	PATO_0000001	quality
OBA_1000060	prostomium quality	UBERON_0008834	prostomium	PATO_0000001	quality
OBA_1000061	vestimentum muscle quality	UBERON_0012642	vestimentum muscle	PATO_0000001	quality
OBA_1000062	trophosome quality	UBERON_0012644	trophosome	PATO_0000001	quality
OBA_1000063	opisthosome quality	UBERON_0012645	opisthosome	PATO_0000001	quality
OBA_1000064	dermal bone quality	UBERON_0008907	dermal bone	PATO_0000001	quality
OBA_1000065	dermal bone morphology	UBERON_0008907	dermal bone	PATO_0000051	morphology
OBA_1000066	endochondral bone morphology	UBERON_0002513	endochondral bone	PATO_0000051	morphology
OBA_1000067	endochondral bone quality	UBERON_0002513	endochondral bone	PATO_0000001	quality
OBA_1000068	epiplastron size	UBERON_0011658	epiplastron	PATO_0000117	size
OBA_1000069	epiplastron mass	UBERON_0011658	epiplastron	PATO_0000125	mass
OBA_1000070	xiphiplastron size	UBERON_0011661	xiphiplastron	PATO_0000117	size
OBA_1000071	coat color	UBERON_0010166	coat of hair	PATO_0000014	color
OBA_1000072	coat color pattern	UBERON_0010166	coat of hair	PATO_0000019	color pattern
OBA_1000073	coat spatial pattern	UBERON_0010166	coat of hair	PATO_0000060	spatial pattern
OBA_1000074	antenna size	UBERON_0000972	antenna	PATO_0000117	size
OBA_1000075	cytosol color	GO_0005829	cytosol	PATO_0000014	color
OBA_1000076	attribute of cell	GO_0005623	cell	PATO_0000001	quality
OBA_1000077	attribute of cytosol	GO_0005829	cytosol	PATO_0000001	quality
OBA_1000078	attribute of organelle	GO_0043226	organelle	PATO_0000001	quality
OBA_1000079	muscle organ strength	UBERON_0001630	muscle organ	PATO_0001230	strength
OBA_1000080	skeletal muscle organ strength	UBERON_0014892	skeletal muscle organ	PATO_0001230	strength
OBA_1000081	forelimb muscle strength	UBERON_0003662	forelimb muscle	PATO_0001230	strength
OBA_1000082	hindlimb muscle strength	UBERON_0003663	hindlimb muscle	PATO_0001230	strength
OBA_1000083	nucleus length	GO_0005634	nucleus	PATO_0000122	length
OBA_1000084	cell surface texture	GO_0009986	cell surface	PATO_0000150	texture
OBA_1000085	nucleus width	GO_0005634	nucleus	PATO_0000921	width
OBA_1000086	cell surface quality	GO_0009986	cell surface	PATO_0000001	quality
OBA_1000087	cell surface morphology	GO_0009986	cell surface	PATO_0000051	morphology
OBA_1000088	plasma membrane quality	GO_0005886	plasma membrane	PATO_0000001	quality
OBA_1000089	plasma membrane morphology	GO_0005886	plasma membrane	PATO_0000051	morphology
OBA_1000090	membrane quality	GO_0016020	membrane	PATO_0000001	quality
OBA_1000091	membrane morphology	GO_0016020	membrane	PATO_0000051	morphology
OBA_1000092	dinoflagellate cingulum shape	GO_0097611	dinoflagellate cingulum	PATO_0000052	shape
OBA_1000093	dinoflagellate sulcus shape	GO_0097612	dinoflagellate sulcus	PATO_0000052	shape
OBA_1000094	chloroplast shape	GO_0009507	chloroplast	PATO_0000052	shape
OBA_1000095	chloroplast spatial pattern	GO_0009507	chloroplast	PATO_0000060	spatial pattern
OBA_1000096	chloroplast color	GO_0009507	chloroplast	PATO_0000014	color
OBA_1000097	chloroplast size	GO_0009507	chloroplast	PATO_0000117	size
OBA_1000098	dinoflagellate sulcus width	GO_0097612	dinoflagellate sulcus	PATO_0000921	width
OBA_1000099	appendage trait	UBERON_0000026	appendage	PATO_0000001	quality
OBA_1000100	paired fin trait	UBERON_0002534	paired fin	PATO_0000001	quality
OBA_1000101	axial skeleton plus cranial skeleton length	UBERON_0005944	axial skeleton plus cranial skeleton	PATO_0000122	length
OBA_1000102	vertebral column length	UBERON_0001130	vertebral column	PATO_0000122	length
OBA_1000103	cervical region of vertebral column length	UBERON_0006072	cervical region of vertebral column	PATO_0000122	length
OBA_1000104	subdivision of vertebral column length	UBERON_0006077	subdivision of vertebral column	PATO_0000122	length
OBA_1000105	tissue composition	UBERON_0000479	tissue	PATO_0000025	composition
OBA_1000106	skeletal tissue composition	UBERON_0004755	skeletal tissue	PATO_0000025	composition
OBA_1000107	testis position	UBERON_0000473	testis	PATO_0000140	position
OBA_1000108	hoof trait	UBERON_0008963	hoof	PATO_0000001	quality
OBA_1000109	anatomical pigmentation	UBERON_0000061	anatomical structure	PATO_0002247	degree of pigmentation
OBA_1000110	bone density	UBERON_0002481	bone tissue	PATO_0001019	mass density
OBA_1000111	adrenal gland size	UBERON_0002369	adrenal gland	PATO_0000117	size
OBA_1000112	tooth size	UBERON_0001091	calcareous tooth	PATO_0000117	size
OBA_1000113	incisor size	UBERON_0001098	incisor tooth	PATO_0000117	size
OBA_1000114	axon terminus orientation	GO_0043679	axon terminus	PATO_0000133	orientation
OBA_1000115	axon length	GO_0030424	axon	PATO_0000122	length
OBA_1000116	axon located in	GO_0030424	axon	PATO_0002261	located in
OBA_1000117	axon shape	GO_0030424	axon	PATO_0000052	shape
OBA_1000118	dendrite count	GO_0030425	dendrite	PATO_0000070	amount
OBA_1000119	dendrite thickness	GO_0030425	dendrite	PATO_0000915	thickness
OBA_1000120	axon orientation	GO_0030424	axon	PATO_0000133	orientation
OBA_1000121	dendrite orientation	GO_0030425	dendrite	PATO_0000133	orientation
OBA_1000122	dendrite shape	GO_0030425	dendrite	PATO_0000052	shape
OBA_1000123	dendrite size	GO_0030425	dendrite	PATO_0000117	size
OBA_1000124	blueB irisB	UBERON_0001769	iris	PATO_0000318	blue
OBA_1000125	brownB strand of hairB	UBERON_0001037	strand of hair	PATO_0000952	brown
OBA_1000126	dinoflagellate epicone length	GO_0097613	dinoflagellate epicone	PATO_0000122	length
OBA_1000127	dinoflagellate hypocone length	GO_0097614	dinoflagellate hypocone	PATO_0000122	length
OBA_1000128	eyespot apparatus color	GO_1990413	eyespot apparatus	PATO_0000014	color
OBA_1000129	cell color	GO_0005623	cell	PATO_0000014	color
OBA_1000130	nucleus diameter	GO_0005634	nucleus	PATO_0001334	diameter
OBA_1000131	eyespot apparatus located in	GO_1990413	eyespot apparatus	PATO_0002261	located in
OBA_1000132	dinoflagellate sulcal notch shape	GO_0097618	dinoflagellate sulcal notch	PATO_0000052	shape
OBA_1000133	dinoflagellate apex shape	GO_0097683	dinoflagellate apex	PATO_0000052	shape
OBA_1000134	dinoflagellate antapex shape	GO_0097684	dinoflagellate antapex	PATO_0000052	shape
OBA_1000135	dinoflagellate apical horn shape	GO_0097686	dinoflagellate apical horn	PATO_0000052	shape
OBA_1000136	dinoflagellate antapical horn shape	GO_0097687	dinoflagellate antapical horn	PATO_0000052	shape
OBA_1000137	endolymph volume	UBERON_0001852	endolymph	PATO_0000918	volume
OBA_1000138	bone element size	UBERON_0001474	bone element	PATO_0000117	size
OBA_1000139	skeletal joint flexibility	UBERON_0000982	skeletal joint	PATO_0001543	flexibility
OBA_1000140	epipubic bone size	UBERON_0013204	epipubic bone	PATO_0000117	size
OBA_1000141	epipubic bone mass density	UBERON_0013204	epipubic bone	PATO_0001019	mass density
OBA_1000142	vesicle size	GO_0031982	vesicle	PATO_0000117	size
OBA_1000143	lymphatic vessel size	UBERON_0001473	lymphatic vessel	PATO_0000117	size
OBA_1000144	lymphatic vessel permeability	UBERON_0001473	lymphatic vessel	PATO_0000970	permeability
OBA_1000145	lymphatic vessel quality	UBERON_0001473	lymphatic vessel	PATO_0000001	quality
OBA_1000146	endoplasmic reticulum membrane permeability	GO_0005789	endoplasmic reticulum membrane	PATO_0000970	permeability
OBA_VT0000000	mammary gland secreted fluid morphology trait	UBERON_0006539	mammary gland fluid/secretion	PATO_0000051	morphology
OBA_VT0000002	head size trait	UBERON_0000033	head	PATO_0000117	size
OBA_VT0000003	adipose morphology trait	UBERON_0001013	adipose tissue	PATO_0000051	morphology
OBA_VT0000005	right atrium size trait	UBERON_0002078	right cardiac atrium	PATO_0000117	size
OBA_VT0000006	esophagus size trait	UBERON_0001043	esophagus	PATO_0000117	size
OBA_VT0000010	abdominal fat pad morphology trait	UBERON_0003427	abdominal fat pad	PATO_0000051	morphology
OBA_VT0000012	left atrium size trait	UBERON_0002079	left cardiac atrium	PATO_0000117	size
OBA_VT0000013	adipose distribution trait	UBERON_0001013	adipose tissue	PATO_0000060	spatial pattern
OBA_VT0000017	outer ear size trait	UBERON_0001691	external ear	PATO_0000117	size
OBA_VT0000018	ventricle membranous septum morphology trait	UBERON_0004666	interventricular septum membranous part	PATO_0000051	morphology
OBA_VT0000019	right atrium morphology trait	UBERON_0002078	right cardiac atrium	PATO_0000051	morphology
OBA_VT0000020	left atrium morphology trait	UBERON_0002079	left cardiac atrium	PATO_0000051	morphology
OBA_VT0000022	outer ear shape trait	UBERON_0001691	external ear	PATO_0000052	shape
OBA_VT0000024	atrium appendage morphology trait	UBERON_0006618	atrium auricular region	PATO_0000051	morphology
OBA_VT0000025	atrioventricular valve morphology trait	UBERON_0002133	atrioventricular valve	PATO_0000051	morphology
OBA_VT0000026	inner ear morphology trait	UBERON_0001846	internal ear	PATO_0000051	morphology
OBA_VT0000027	head width	UBERON_0000033	head	PATO_0000921	width
OBA_VT0000028	pars superior vestibularis morphology trait	UBERON_0002825	superior part of vestibular ganglion	PATO_0000051	morphology
OBA_VT0000029	malleus morphology trait	UBERON_0001689	malleus bone	PATO_0000051	morphology
OBA_VT0000030	tympanic ring morphology trait	UBERON_0002218	tympanic ring	PATO_0000051	morphology
OBA_VT0000031	cochlea morphology trait	UBERON_0001844	cochlea	PATO_0000051	morphology
OBA_VT0000033	mitral valve morphology trait	UBERON_0002135	mitral valve	PATO_0000051	morphology
OBA_VT0000034	vestibule morphology trait	UBERON_0001349	vestibule	PATO_0000051	morphology
OBA_VT0000035	membranous labyrinth morphology trait	UBERON_0001849	membranous labyrinth	PATO_0000051	morphology
OBA_VT0000036	tricuspid valve morphology trait	UBERON_0002134	tricuspid valve	PATO_0000051	morphology
OBA_VT0000037	lateral semicircular canal morphology trait	UBERON_0001843	lateral semicircular canal	PATO_0000051	morphology
OBA_VT0000038	head length	UBERON_0000033	head	PATO_0000122	length
OBA_VT0000039	otic capsule morphology trait	UBERON_0004637	otic capsule	PATO_0000051	morphology
OBA_VT0000040	aortic valve morphology trait	UBERON_0002137	aortic valve	PATO_0000051	morphology
OBA_VT0000041	endolymphatic duct size trait	UBERON_0001860	endolymphatic duct	PATO_0000117	size
OBA_VT0000042	organ of Corti morphology trait	UBERON_0002227	spiral organ of cochlea	PATO_0000051	morphology
OBA_VT0000044	pulmonary valve morphology trait	UBERON_0002146	pulmonary valve	PATO_0000051	morphology
OBA_VT0000045	hair cell morphology trait	CL_0000855	sensory hair cell	PATO_0000051	morphology
OBA_VT0000046	sulcus ampullaris morphology trait	UBERON_0009038	sulcus ampullaris	PATO_0000051	morphology
OBA_VT0000047	head circumference	UBERON_0000033	head	PATO_0001648	circumference
OBA_VT0000048	stria vascularis morphology trait	UBERON_0002282	stria vascularis of cochlear duct	PATO_0000051	morphology
OBA_VT0000049	middle ear morphology trait	UBERON_0001756	middle ear	PATO_0000051	morphology
OBA_VT0000051	testes physiology trait	UBERON_0000473	testis	PATO_0001509	functionality
OBA_VT0000058	heart muscle compact layer morphology trait	UBERON_0004125	myocardial compact layer	PATO_0000051	morphology
OBA_VT0000061	cardiomyocyte morphology trait	CL_0000746	cardiac muscle cell	PATO_0000051	morphology
OBA_VT0000062	heart muscle trabeculae morphology trait	UBERON_0004124	myocardium trabecular layer	PATO_0000051	morphology
OBA_VT0000063	ventricle papillary muscle morphology trait	UBERON_0002494	papillary muscle of heart	PATO_0000051	morphology
OBA_VT0000065	medullary cavity morphology trait	UBERON_0002484	bone marrow cavity	PATO_0000051	morphology
OBA_VT0000072	bone elasticity trait	UBERON_0001474	bone element	PATO_0001031	elasticity
OBA_VT0000074	neurocranium morphology trait	UBERON_0001703	neurocranium	PATO_0000051	morphology
OBA_VT0000075	blood-brain barrier morphology trait	UBERON_0000120	blood brain barrier	PATO_0000051	morphology
OBA_VT0000076	calvaria morphology trait	UBERON_0004339	vault of skull	PATO_0000051	morphology
OBA_VT0000077	interparietal bone morphology trait	UBERON_0002229	interparietal bone	PATO_0000051	morphology
OBA_VT0000078	supraoccipital bone morphology trait	UBERON_0004747	supraoccipital bone	PATO_0000051	morphology
OBA_VT0000079	basilar bone morphology trait	UBERON_0001692	basioccipital bone	PATO_0000051	morphology
OBA_VT0000080	exoccipital bone morphology trait	UBERON_0001693	exoccipital bone	PATO_0000051	morphology
OBA_VT0000084	fontanelle morphology trait	UBERON_0002221	fontanelle	PATO_0000051	morphology
OBA_VT0000085	blood-cerebrospinal fluid barrier morphology trait	UBERON_0003210	blood-cerebrospinal fluid barrier	PATO_0000051	morphology
OBA_VT0000087	capillary morphology trait	UBERON_0001982	capillary	PATO_0000051	morphology
OBA_VT0000098	vomer bone morphology trait	UBERON_0002396	vomer	PATO_0000051	morphology
OBA_VT0000100	ethmoid bone morphology trait	UBERON_0001679	ethmoid bone	PATO_0000051	morphology
OBA_VT0000102	nasal bone morphology trait	UBERON_0001681	nasal bone	PATO_0000051	morphology
OBA_VT0000104	sphenoid bone morphology trait	UBERON_0001677	sphenoid bone	PATO_0000051	morphology
OBA_VT0000106	basisphenoid morphology trait	UBERON_0006428	basisphenoid bone	PATO_0000051	morphology
OBA_VT0000107	frontal bone morphology trait	UBERON_0000209	tetrapod frontal bone	PATO_0000051	morphology
OBA_VT0000109	parietal bone morphology trait	UBERON_0000210	tetrapod parietal bone	PATO_0000051	morphology
OBA_VT0000124	tooth quantity	UBERON_0001091	calcareous tooth	PATO_0001555	has number of
OBA_VT0000125	heart tube morphology trait	UBERON_0004141	heart tube	PATO_0000051	morphology
OBA_VT0000126	tooth strength trait	UBERON_0001091	calcareous tooth	PATO_0001230	strength
OBA_VT0000130	cancellous bone morphology trait	UBERON_0002483	trabecular bone tissue	PATO_0000051	morphology
OBA_VT0000131	long bone epiphysis morphology trait	UBERON_0001437	epiphysis	PATO_0000051	morphology
OBA_VT0000132	epiphysis width	UBERON_0001437	epiphysis	PATO_0000921	width
OBA_VT0000133	long bone metaphysis morphology trait	UBERON_0001438	metaphysis	PATO_0000051	morphology
OBA_VT0000134	compact bone thickness	UBERON_0001439	compact bone tissue	PATO_0000915	thickness
OBA_VT0000135	outflow tract morphology trait	UBERON_0004145	outflow tract	PATO_0000051	morphology
OBA_VT0000136	microglial cell morphology trait	CL_0000129	microglial cell	PATO_0000051	morphology
OBA_VT0000137	vertebra morphology trait	UBERON_0002412	vertebra	PATO_0000051	morphology
OBA_VT0000138	vertebra quantity	UBERON_0002412	vertebra	PATO_0001555	has number of
OBA_VT0000139	transverse process morphology trait	UBERON_0003109	parapophysis	PATO_0000051	morphology
OBA_VT0000140	pedicle morphology trait	UBERON_0001078	pedicle of vertebra	PATO_0000051	morphology
OBA_VT0000141	vertebral body morphology trait	UBERON_0001075	bony vertebral centrum	PATO_0000051	morphology
OBA_VT0000142	outer ear thickness	UBERON_0001691	external ear	PATO_0000915	thickness
OBA_VT0000149	scapula morphology trait	UBERON_0006849	scapula	PATO_0000051	morphology
OBA_VT0000150	rib morphology trait	UBERON_0002228	rib	PATO_0000051	morphology
OBA_VT0000152	proximal rib morphology trait	UBERON_0010388	proximal segment of rib	PATO_0000051	morphology
OBA_VT0000157	sternum morphology trait	UBERON_0000975	sternum	PATO_0000051	morphology
OBA_VT0000159	xiphoid process morphology trait	UBERON_0002207	xiphoid process	PATO_0000051	morphology
OBA_VT0000163	cartilage morphology trait	UBERON_0002418	cartilage tissue	PATO_0000051	morphology
OBA_VT0000165	hypertrophic chondrocyte zone morphology trait	UBERON_0006772	long bone epiphyseal plate hypertrophic zone	PATO_0000051	morphology
OBA_VT0000166	chondrocyte morphology trait	CL_0000138	chondrocyte	PATO_0000051	morphology
OBA_VT0000167	chondrocyte quantity	CL_0000138	chondrocyte	PATO_0001555	has number of
OBA_VT0000170	blood vessel physiology trait	UBERON_0001981	blood vessel	PATO_0001509	functionality
OBA_VT0000171	blood physiology trait	UBERON_0000178	blood	PATO_0001509	functionality
OBA_VT0000173	lymph vessel physiology trait	UBERON_0001473	lymphatic vessel	PATO_0001509	functionality
OBA_VT0000174	lymph physiology trait	UBERON_0002391	lymph	PATO_0001509	functionality
OBA_VT0000182	blood flow trait	UBERON_0000178	blood	PATO_0001574	flow rate
OBA_VT0000183	blood pressure trait	UBERON_0000178	blood	PATO_0001025	pressure
OBA_VT0000187	triglyceride amount	CHEBI_17855	triglyceride	PATO_0000070	amount
OBA_VT0000190	blood vessel permeability trait	UBERON_0001981	blood vessel	PATO_0000970	permeability
OBA_VT0000192	mineral amount	CHEBI_46662	mineral	PATO_0000070	amount
OBA_VT0000217	leukocyte quantity	CL_0000738	leukocyte	PATO_0000070	amount
OBA_VT0000222	neutrophil quantity	CL_0000775	neutrophil	PATO_0000070	amount
OBA_VT0000223	monocyte quantity	CL_0000576	monocyte	PATO_0000070	amount
OBA_VT0000237	blood cell quantity	CL_0000988	hematopoietic cell	PATO_0001555	has number of
OBA_VT0000240	hematopoiesis location trait	GO_0030097	hemopoiesis	PATO_0000140	position
OBA_VT0000248	erythrocyte size trait	CL_0000232	erythrocyte	PATO_0000117	size
OBA_VT0000254	cerebrospinal fluid amount	UBERON_0001359	cerebrospinal fluid	PATO_0000918	volume
OBA_VT0000259	capillary permeability trait	UBERON_0001982	capillary	PATO_0000970	permeability
OBA_VT0000266	heart morphology trait	UBERON_0000948	heart	PATO_0000051	morphology
OBA_VT0000268	vibrissa quantity	UBERON_0001037	strand of hair	PATO_0000070	amount
OBA_VT0000272	aorta morphology trait	UBERON_0000947	aorta	PATO_0000051	morphology
OBA_VT0000277	heart shape trait	UBERON_0000948	heart	PATO_0000052	shape
OBA_VT0000285	heart valve morphology trait	UBERON_0000946	cardial valve	PATO_0000052	shape
OBA_VT0000288	pericardium morphology trait	UBERON_0002407	pericardium	PATO_0000051	morphology
OBA_VT0000319	endolymph physiology trait	UBERON_0001852	endolymph	PATO_0001509	functionality
OBA_VT0000334	granulocyte quantity	CL_0000094	granulocyte	PATO_0001555	has number of
OBA_VT0000336	mast cell quantity	CL_0000097	mast cell	PATO_0001555	has number of
OBA_VT0000340	perilymph physiology trait	UBERON_0001845	perilymph	PATO_0001509	functionality
OBA_VT0000341	bile color	UBERON_0001970	bile	PATO_0000014	color
OBA_VT0000344	Cajal-Retzius cell morphology trait	CL_0000695	Cajal-Retzius cell	PATO_0000051	morphology
