cls,def,xrefs
http://purl.obolibrary.org/obo/ENVO_00000417,"A fertile low-lying raised beach found on the some of the coastlines of Ireland and Scotland, in particular in the Outer Hebrides.",
http://purl.obolibrary.org/obo/ENVO_01000559,Compressed biogas is biogas stored at increased pressures.,
http://purl.obolibrary.org/obo/ENVO_00002228,,
http://purl.obolibrary.org/obo/ENVO_01000477,Gypsum plaster is a plaster which is formed by partially dehydrating gypsum by heating it to approximately 150 degrees Celsius and grinding the product into a powder. Gypsum anhydride - formed by heating gypsum above 200 degrees Celsius - may also be used as plaster.,
http://purl.obolibrary.org/obo/ENVO_01000684,Glacial ice thrusting is an erosional process during which a moving glacier which has frozen to its bed surges forward and moves large sheets of sediment frozen to the glacial mass.,
http://purl.obolibrary.org/obo/ENVO_0010054,,
_:b7,,
http://purl.obolibrary.org/obo/ENVO_00000468,A dam constructed for the purpose of generating electricity from the water stored behind it.,Wikipedia:Hydroelectric_dam
http://purl.obolibrary.org/obo/ENVO_00000021,A lake of whose water contains low concentrations of salts.,SWEETRealm:FreshwaterLake
http://purl.obolibrary.org/obo/ENVO_00004683,A large flat plain in karst territory with areas usually 5 to 400 km2.,Wikipedia:Karst_field
_:b8,,
http://purl.obolibrary.org/obo/ENVO_00000462,"A volcanic field of scattered volcanic vents. These volcanic fields, containing numerous polygenetic volcanoes, are noted for having more than one eruptive event from the same vent(s), rather than the more common monogenetic volcanic field. Polygenetic volcanic fields generally occur where there is a high-level magma chamber. These volcanic fields may show lithological discontinuities due to major changes in magma chemistry, volcanotectonic events, or long erosional intervals, and may last >10 million year period.",Wikipedia:Polygenetic_volcanic_field
http://purl.obolibrary.org/obo/ENVO_00000057,An swamp formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics.,Wikipedia:Mangrove_swamp FTT:934 Geonames:H.MGV FTT:185 EcoLexicon:mangrove_swamp
_:b9,,
http://purl.obolibrary.org/obo/ENVO_00003075,,
http://purl.obolibrary.org/obo/ENVO_01000293,A mass of ice.,
http://purl.obolibrary.org/obo/ENVO_00000508,"A step-like feature between higher and lower ground: a relatively flat or gently inclined shelf of earth, backed and fronted by steep slopes or manmade detaining walls.",TGN:21498 EcoLexicon:terrace Wikipedia:Terrace TGN:21513 Geonames:T.TRR FTT:248 Geonames:T.BNCH FTT:247
http://purl.obolibrary.org/obo/ENVO_00002262,,
_:b10,,
http://purl.obolibrary.org/obo/ENVO_01000522,A latrine pit is an artificial hole or cavity in the ground used to collect human excreta.,
http://purl.obolibrary.org/obo/ENVO_00003009,,
_:b11,,
http://purl.obolibrary.org/obo/ENVO_00003869,"An agricultural byproduct, the dry stalk of a cereal plant, after the nutrient grain or seed has been removed.",Wikipedia:Straw
http://purl.obolibrary.org/obo/ENVO_00002013,Rock formed from molten magma.,Wikipedia:Igneous_rock EcoLexicon:igneous_rock SWEETRealm:IgneousRock
http://purl.obolibrary.org/obo/ENVO_00000502,"A saline lake that is not permanently filled with water, at times being dry.",Geonames:H.LKN FTT:221 FTT:880 Geonames:H.LKSNI
http://purl.obolibrary.org/obo/ENVO_00000541,,
http://purl.obolibrary.org/obo/ENVO_01000444,,
http://purl.obolibrary.org/obo/ENVO_00000249,The parallel ridges of till deposited along the sides of an alglacier. The unconsolidated debris is deposited on top of the glacier by frost shattering of the valley walls and from tributary streams flowing into the valley. The till is carried along the glacial margin until the glacier melts.,Wikipedia:Lateral_moraine EcoLexicon:lateral_moraine
http://purl.obolibrary.org/obo/ENVO_01000238,"A polar condition is an environmental condition in which an environmental system receives low, yearly solar irradiance per unit area, resulting in colder climatic conditions. On Earth, polar conditions are such that every month has average temperature lower than 10 degrees Celsius.",SPIRE:Polar SWEETRealm:Polarization
http://purl.obolibrary.org/obo/ENVO_01000199,"A mediterranean forest biome is a forest biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",
http://purl.obolibrary.org/obo/ENVO_00003048,,
http://purl.obolibrary.org/obo/ENVO_00005787,,
_:b12,,
http://purl.obolibrary.org/obo/ENVO_0010091,,
http://purl.obolibrary.org/obo/ENVO_00003976,,Wikipedia:Linseed_oil
http://purl.obolibrary.org/obo/ENVO_02000041,"Lymph is a bodily fluid consisting of a usually clear coagulable fluid that passes from intercellular spaces of body tissue into the lymphatic vessels, is discharged into the blood by way of the thoracic duct and right lymphatic duct, and resembles blood plasma in containing white blood cells and especially lymphocytes but normally few red blood cells and no platelets.",Wikipedia:Lymph
http://purl.obolibrary.org/obo/ENVO_01000249,An urban biome is a dense settlement biome which has been urbanised.,SPIRE:Urban
_:b13,,
_:b14,,
_:b15,,
http://purl.obolibrary.org/obo/ENVO_00000005,"A primary administrative division of a country, such as a state in the United States.",FTT:414 TGN:81100 FTT:569 Geonames:A.ADM1
http://purl.obolibrary.org/obo/ENVO_00005802,Soil that is not penetrated by the root systems of plants.,Wikipedia:Bulk_soil
http://purl.obolibrary.org/obo/ENVO_01000398,,
http://purl.obolibrary.org/obo/ENVO_00000561,A region in which military personnel train.,
http://purl.obolibrary.org/obo/ENVO_0010050,,
http://purl.obolibrary.org/obo/ENVO_01000486,A building floor is a surface layer which is part of a building and used for walking.,
http://purl.obolibrary.org/obo/ENVO_00002163,,
_:b16,,
http://purl.obolibrary.org/obo/ENVO_00000537,"A high altitude or high latitude bare, flat area covered with large angular rocks.",TGN:21501 Geonames:T.BLDR FTT:289
http://purl.obolibrary.org/obo/ENVO_0010007,,
http://purl.obolibrary.org/obo/ENVO_00000244,A flat or very gently sloping areas of the deep ocean basin floor.,TGN:23302 Wikipedia:Abyssal_plain SPIRE:Abyssal EcoLexicon:abyssal_plain FTT:4
http://purl.obolibrary.org/obo/ENVO_00002263,,
http://purl.obolibrary.org/obo/ENVO_01000696,"A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material.",
http://purl.obolibrary.org/obo/ENVO_0010052,,
_:b17,,
http://purl.obolibrary.org/obo/ENVO_00000319,"The tidal zone that is mostly submerged, only being exposed at the point of low tide and for a longer period of time during extremely low tides.",
http://purl.obolibrary.org/obo/ENVO_00000332,"A closed depression draining underground in karst, of simple but variable form, e.g. cylindrical, conical, bowl- or dish-shaped. From a few to many hundreds of metres in dimensions.",Wikipedia:Doline
http://purl.obolibrary.org/obo/ENVO_00003008,,
http://purl.obolibrary.org/obo/ENVO_00003049,,Wikipedia:Camembert
http://purl.obolibrary.org/obo/ENVO_00009725,"A glacier covering a coastal strip of low-lying land backed by mountains, and sloping gently seaward over a distance up to 30km or more to terminate in ice cliffs or to merge with an ice shelf.",
http://purl.obolibrary.org/obo/ENVO_01000217,"A mediterranean shrubland biome is a subtropical shrubland biome which includes communities adapted to hot to warm, dry summers, mild to cold, rainy winters, and the influence of large, usually marine, bodies of water.",
http://purl.obolibrary.org/obo/ENVO_01000399,,
http://purl.obolibrary.org/obo/ENVO_00005788,,
http://purl.obolibrary.org/obo/ENVO_00000033,"A body of water, usually of smaller size than a lake.",FTT:902 SWEETRealm:Pond SPIRE:Lake_or_pond TGN:21104 TGN:21119 FTT:904 Geonames:H.PNDS FTT:905 Wikipedia:Pond EcoLexicon:pond Geonames:H.POOL FTT:221 Geonames:H.PND
http://purl.obolibrary.org/obo/ENVO_01000586,A chair is a piece of furniture with a raised surface commonly used to seat a single person.,
http://purl.obolibrary.org/obo/ENVO_00000172,A desert plain characterized by a surface veneer of sand.,FTT:188 Geonames:T.ERG FTT:616 TGN:21203 Geonames:T.SAND FTT:238 EcoLexicon:sandy_area
https://purl.obolibrary.org/obo/ENVO_01000548,A lake which has nutrient-rich water.,
http://purl.obolibrary.org/obo/ENVO_0010090,,
http://purl.obolibrary.org/obo/ENVO_01000464,Non-hydraulic cement is a cement which sets by reacting with carbon dioxide in the air and will not set in wet conditions or underwater. It is susceptible to attack by aggresive chemicals after setting.,
http://purl.obolibrary.org/obo/ENVO_00000208,An open ocean region.,SWEETRealm:PelagicZone EcoLexicon:pelagic_zone Wikipedia:Pelagic_zone SPIRE:Pelagic
http://purl.obolibrary.org/obo/ENVO_00000522,A tunnel through which a canal passes.,FTT:396 Wikipedia:Canal_tunnel FTT:397 Geonames:H.TNLC
_:b18,,
http://purl.obolibrary.org/obo/ENVO_00002222,,
_:b19,,
http://purl.obolibrary.org/obo/ENVO_01000532,A covered pit latrine is a building which comprises a pit latrine sheltered by an outhouse.,
http://purl.obolibrary.org/obo/ENVO_00000394,"A narrow channel of water that connects two larger bodies of water, and thus lies between two land masses.",EcoLexicon:strait SWEETRealm:Strait Wikipedia:Strait Geonames:H.STRT FTT:470 TGN:21132 FTT:233
http://purl.obolibrary.org/obo/ENVO_01000245,A cropland biome is an anthropogenic terrestrial biome which is primarily used for agricultural activity and which contains no village or larger human settlement.,
http://purl.obolibrary.org/obo/ENVO_0010051,,
http://purl.obolibrary.org/obo/ENVO_0010008,,
http://purl.obolibrary.org/obo/ENVO_01000647,"An asthenosphere is a layer of a terrestrial-type planet or natural satellite which is highly viscous, mechanically weak, and ductilely deforming.",
http://purl.obolibrary.org/obo/ENVO_00003077,A fermented salty fish of Korean cuisine.,Wikipedia:Jeotgal
http://purl.obolibrary.org/obo/ENVO_01000593,A framed bed is a piece of furniture which is composed of a mattress supported by a bed base and held in place by a bed frame.,
http://purl.obolibrary.org/obo/ENVO_01000519,A latrine is a toilet which is of simple construction (relative to a flush or chemical toilet) and typically intended for communal use.,
http://purl.obolibrary.org/obo/ENVO_00002258,"A soil composed of sand, silt, and clay in relatively even concentration (about 40-40-20% concentration respectively).",Wikipedia:Loam SWEETRealm:Loam EcoLexicon:loam
http://purl.obolibrary.org/obo/ENVO_00002161,,
http://purl.obolibrary.org/obo/ENVO_01000396,,
http://purl.obolibrary.org/obo/ENVO_00003070,,
http://purl.obolibrary.org/obo/ENVO_01000524,"An outhouse is a small structure, separate from a main building, which covers a pit latrine or a dry toilet.",
http://purl.obolibrary.org/obo/ENVO_00000455,A mountain lake that is formed in a cirque excavated by a glacier. A moraine may form a natural dam below a tarn.,Wikipedia:Tarn
http://purl.obolibrary.org/obo/ENVO_01000272,A mudstone is a clastic sedimentary rock which contains a mixture of at least one third of silt- and one third of clay-sized particles.,
http://purl.obolibrary.org/obo/ENVO_01000173,Water depleted of dissolved oxygen.,
_:b20,,
http://purl.obolibrary.org/obo/ENVO_00000427,A bend in a stream. A stream flowing through a wide valley or flat plain will tend to form a meanders as it alternatively erodes and deposits sediments along its course.,SWEETRealm:Meandering FTT:948 FTT:105 TGN:21153 EcoLexicon:meander Wikipedia:Meander
http://purl.obolibrary.org/obo/ENVO_01000290,"A monomictic lake which does not freeze and is thermally stratified throughout most of the year, only mixing in winter when cooler temperatures ease stratification.",
http://purl.obolibrary.org/obo/ENVO_00000471,A dam constructed for the purpose of controlling flooding.,
http://purl.obolibrary.org/obo/ENVO_00010622,"A vivarium is an enclosure for keeping and raising animals or plants for observation or research. Often, a portion of the ecosystem for a particular species is simulated on a smaller scale, with controls for environmental conditions.",Wikipedia:Vivarium
http://purl.obolibrary.org/obo/ENVO_0010005,,
http://purl.obolibrary.org/obo/ENVO_00000002,"An anthropogenic geographic feature is a geographic feature
resulting from the influence of human beings on nature.",FTT:78 TGN:50001
http://purl.obolibrary.org/obo/ENVO_00000490,"A stream whose course is a direct consequence of the original slope of the surface upon which it developed, i.e., a stream that follows the slope of the original land.",Wikipedia:Consequent_stream
http://purl.obolibrary.org/obo/ENVO_01000732,A dike formed when sediment fills a pre-existing fracture in a mass of rock.,
http://purl.obolibrary.org/obo/ENVO_00002232,"Andosols are soils that develop in volcanic ejecta or glasses under almost any climate (except under hyperarid climate conditions). However, Andosols may also develop in other silicate-rich materials under acid weathering in humid and perhumid climates.",
http://purl.obolibrary.org/obo/ENVO_01000397,,
_:b21,,
http://purl.obolibrary.org/obo/ENVO_00003071,,
http://purl.obolibrary.org/obo/ENVO_00000011,An enclosure for displaying selected plant or animal life.,FTT:743 TGN:53010 FTT:31 Wikipedia:Garden Geonames:S.GDN
http://purl.obolibrary.org/obo/ENVO_01000132,Sediment characterised by a temperature of 45-75 degrees Celsius and low to no oxygen content. Often impacted by hydrothermal fluid flows.,
http://purl.obolibrary.org/obo/ENVO_00002162,,
http://purl.obolibrary.org/obo/ENVO_00000188,"Peatland typified by characteristic high mounds, each with a permanently frozen core, with wet depressions between the mounds. These develop where the ground surface is frozen only for part of the year, and are common in the former USSR, Canada and parts of Scandinavia.",
_:b22,,
http://purl.obolibrary.org/obo/ENVO_01000138,A accumulation of plant matter that has fallen to the bottom of a body of water.,
http://purl.obolibrary.org/obo/ENVO_0010006,,
http://purl.obolibrary.org/obo/ENVO_00000551,"A drainage basin from which there is no outflow of water, either on the surface as rivers, or underground by flow or diffusion through rock or permeable material.",EcoLexicon:endorheic_basin Wikipedia:Endorheic_basin
http://purl.obolibrary.org/obo/ENVO_01000100,A marine surface current that flows along an oceanic front.,
http://purl.obolibrary.org/obo/ENVO_00002241,Leptosols are very shallow soils over continuous rock and soils that are extremely gravelly and/or stony. Leptosols are azonal soils and particularly common in mountainous regions.,
http://purl.obolibrary.org/obo/ENVO_00000436,"A deep but narrow valley with a 'U' shaped cross-section and frequently a 'U' shaped plan which is usually found filled with glacial till. It is formed when the edge of an ice mass advances up a slope. Its length may be appropriately measured in centimetres or kilometres, depending on the circumstances of formation.",Wikipedia:Tunnel_valley
http://purl.obolibrary.org/obo/ENVO_00000137,An opening of the sea into the land.,FTT:463 TGN:21128
http://purl.obolibrary.org/obo/ENVO_00003005,,
http://purl.obolibrary.org/obo/ENVO_00000333,Karst developed in soluble beds underlying other rock formations; the surface may or may not be affected by the karst development.,
http://purl.obolibrary.org/obo/ENVO_00000553,A dam constructed for more than one purpose.,
_:b23,,
http://purl.obolibrary.org/obo/ENVO_02500027,,
_:b24,,
http://purl.obolibrary.org/obo/ENVO_02000013,,
http://purl.obolibrary.org/obo/ENVO_0010003,,
http://purl.obolibrary.org/obo/ENVO_00003052,"A large disc of smooth, soft, even runny cheese made with cow's milk.",Wikipedia:Brie
http://purl.obolibrary.org/obo/ENVO_00000554,An auxiliary dam constructed to confine the reservoir created by a primary dam either to permit a higher water elevation and storage or to limit the extent of a reservoir for increased efficiency.,
_:b25,,
http://purl.obolibrary.org/obo/ENVO_00000428,A biome is an environmental system to which resident ecological communities have evolved adaptations.,Wikipedia:Biome LTER:173 EcoLexicon:biome
http://purl.obolibrary.org/obo/ENVO_01000440,,
http://purl.obolibrary.org/obo/ENVO_00000291,"An extent or area of land where surface water from rain and melting snow or ice converges to a single point at lower elevation, usually the exit of the basin, where the waters join another waterbody.",SWEETRealm:DrainageBasin FTT:220 Wikipedia:Drainage_basin EcoLexicon:drainage_basin LTER:58 FTT:440 Geonames:L.BSND TGN:21455 EcoLexicon:basin
_:b26,,
http://purl.obolibrary.org/obo/ENVO_01000539,The mesosphere is part of the earth's atmosphere which is between the stratosphere and the thermosphere in which temperature decreases with altitude to the atmosphere's absolute minimum,
http://purl.obolibrary.org/obo/ENVO_01000447,An environmental zone of varying area which is adjacent to a road.,
_:b27,,
http://purl.obolibrary.org/obo/ENVO_02000063,"A food that is usually sweet and often baked. Cakes normally combine some kind of flour, a sweetening agent (commonly sugar), a binding agent (generally egg, though gluten  or starch  are often used by lacto-vegetarians and vegans), fats (usually butter, shortening, or margarine, although a fruit puree such as applesauce is sometimes substituted to avoid using fat), a liquid (milk, water or fruit juice), flavors and some form of leavening agent (such as yeast or baking powder), though many cakes lack these ingredients and instead rely on air bubbles in the dough to expand and cause the cake to rise. Cake is often frosted with buttercream  or marzipan, and finished with piped borders and crystallized fruit.",Wikipedia:Cake
http://purl.obolibrary.org/obo/ENVO_01000339,A biome which has the environmental condition polar,
http://purl.obolibrary.org/obo/ENVO_01000634,"A volcanic process is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.",
http://purl.obolibrary.org/obo/ENVO_01000697,A mudflow is a form of mass wasting which involves very rapid to extremely rapid surging flow of debris that has become partially or fully liquified by the addition of significant amounts of water to clay-rich source material.,
http://purl.obolibrary.org/obo/ENVO_01000400,,
http://purl.obolibrary.org/obo/ENVO_00003004,,
http://purl.obolibrary.org/obo/ENVO_01000295,A layer that is part of a marine water body.,
http://purl.obolibrary.org/obo/ENVO_01000157,"Material derived from a microbial mat, a multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats create a wide range of internal chemical environments.",
http://purl.obolibrary.org/obo/ENVO_02000010,Organ culture is the aseptic culture of complete living organs of animals and plants outside the body in a suitable culture medium. Animal organs must be small enough to allow the nutrients in the culture medium to penetrate all the cells.,Wikipedia:Organ_culture
http://purl.obolibrary.org/obo/ENVO_02500026,,
http://purl.obolibrary.org/obo/ENVO_01000124,"The supralittoral zone is the area above the spring high tide line that is regularly splashed, but not submerged by ocean water. Seawater penetrates these elevated areas only during storms with high tides.",
_:b28,,
http://purl.obolibrary.org/obo/ENVO_02000012,,Wikipedia:Camel_milk
_:b29,,
http://purl.obolibrary.org/obo/ENVO_00003928,A food preserved by soaking and storing it in vinegar or brine.,Wikipedia:Pickle
http://purl.obolibrary.org/obo/ENVO_00000377,A lake purposefully constructed.,Wikipedia:Artificial_lake
http://purl.obolibrary.org/obo/ENVO_01000699,"A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley.",
_:b30,,
http://purl.obolibrary.org/obo/ENVO_02500025,,
http://purl.obolibrary.org/obo/ENVO_00003967,A creamery is a part of a dairy where cream is separated from whole milk.,Wikipedia:Creamery
_:b31,,
http://purl.obolibrary.org/obo/ENVO_01000047,The mediterranean sea biome comprises mostly enclosed seas that have limited exchange of deep water with outer oceans and where the water circulation is dominated by salinity and temperature differences rather than winds.,
_:b32,,
http://purl.obolibrary.org/obo/ENVO_00000168,A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air.,FTT:266 Geonames:T.BLHL TGN:21172 EcoLexicon:blowhole Wikipedia:Blowhole
http://purl.obolibrary.org/obo/ENVO_01000367,An anchialine cave is a cave which contains an anchialine pool.,
http://purl.obolibrary.org/obo/ENVO_00000401,"A volcanic cone formed of molten lava ejected from a vent somewhat like taffy. Expanding gases in the lava fountains tear the liquid rock into irregular gobs that fall back to earth, forming a heap around the vent. The still partly liquid rock splashed down and over the sides of the developing mound is called spatter. Because spatter is not fully solid when it lands, the individual deposits are very irregular in shape and weld together as they cool, and in this way particularly differ from cinder and ash.",Wikipedia:Spatter_cone SWEETRealm:SpatterCone
http://purl.obolibrary.org/obo/ENVO_00002221,,Wikipedia:Shop
http://purl.obolibrary.org/obo/ENVO_00000229,"An estuary that varies dramatically depending on freshwater input, and is capable of changing from a wholly marine embayment to any of the other estuary types.",
http://purl.obolibrary.org/obo/ENVO_01000328,A dome swamp is a swamp which occurs in a depression where deeper waters at the centre of the swamp allow  trees to grow taller relative to those in shallower regions of the depression. This creates a dome-like shape.,
http://purl.obolibrary.org/obo/ENVO_01000271,"Clastic sedimentary rocks are sedimentary rocks that are composed of silicate minerals and rock fragments that were transported by moving fluids. Clastic rocks are composed largely of quartz, feldspar, rock (lithic) fragments, clay minerals, and mica; numerous other minerals may be present as accessories and may be important locally.",
http://purl.obolibrary.org/obo/ENVO_00010483,A portion of environmental material is a fiat object which forms the medium or part of the medium of an environmental system.,
http://purl.obolibrary.org/obo/ENVO_01000125,"The marine littoral zone is a littoral zone which extends, approximately, from the spray region above the high tide mark to the edge of the coninental shelf.",
http://purl.obolibrary.org/obo/ENVO_01000599,,
http://purl.obolibrary.org/obo/ENVO_00003871,,
_:b33,,
http://purl.obolibrary.org/obo/ENVO_00000199,A lake which has layers of water which do not intermix. The deepest layer of water in such a lake does not contain any dissolved oxygen. The layers of sediment at the bottom of a meromictic lake remain relatively undisturbed because there are no living organisms to stir them up.,EcoLexicon:meromictic_lake_
http://purl.obolibrary.org/obo/ENVO_00003007,,
http://purl.obolibrary.org/obo/ENVO_02000011,,
http://purl.obolibrary.org/obo/ENVO_00005739,,Wikipedia:Sea_foam
http://purl.obolibrary.org/obo/ENVO_00000392,A long and narrow sheet of ice projecting out from the coastline. An ice tongue forms when a valley glacier moves very rapidly out into the ocean or a lake.,Wikipedia:Ice_tongue TGN:21143
http://purl.obolibrary.org/obo/ENVO_02000008,Cell culture is a growth of cells in vitro in an artificial medium for experimental research.,Wikipedia:Cell_culture
http://purl.obolibrary.org/obo/ENVO_00000225,"An estuary whose river output and marine input are more even, with river flow still dominant; turbulence induces more mixing of salt water upward than the reverse.",
https://purl.obolibrary.org/obo/ENVO_01000545,"The ionosphere is a layer of the Earth's atmosphere which extends from about 60 to 1,000 kilometers above the planetary surface and is ionised by solar radiation. It includes the thermosphere and parts of the mesosphere and exosphere.",
